,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,5/13/2024 16:53,5/15/2024 14:46,45:53:00,Inspection,,#2 progressive insp
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,7/1/2024 8:02,7/1/2024 9:01,0:59,Squawk,,missing screw
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,7/12/2024 20:09,7/13/2024 7:09,11:00,Squawk,Engine,"Engine won't turn over, didn't peak 200 rpm.  Also fuel sump leak"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,4/16/2024 12:04,4/16/2024 15:13,3:09,downed by ETA,Avionics,Transponder inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,5/7/2024 10:18,5/7/2024 14:05,3:47,downed by ETA,Avionics,Auto Pilot will not turn off
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,5/25/2024 11:49,5/30/2024 14:31,122:42:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,6/14/2024 9:27,6/17/2024 11:53,74:26:00,downed by ETA,Engine,right mag engine shut off
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,7/2/2024 14:24,7/8/2024 18:29,148:05:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,8/8/2024 20:17,8/9/2024 8:26,12:09,downed by ETA,Avionics,Low fuel indicator when fuel is not low
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,8/13/2024 18:16,8/14/2024 9:01,14:45,downed by ETA,Avionics,"Standby attitude indicator is ""spinning"""
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU35 N481RA,32,7382:08:00,230:42:00,4/19/2024 14:34,4/23/2024 9:43,91:09:00,Inspection,,#3 Inspection
